,Name,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
602,Ford Ecosport ,PLATINUM,Pune,490099,52149,Petrol,2nd,2013,Ford
603,Hyundai Grand i10,PLATINUM,Pune,638599,11203,Petrol,2nd,2017,Hyundai
604,Maruti Suzuki Alto,PLATINUM,Pune,374799,18071,Petrol,2nd,2015,Maruti
605,Hyundai Elite i20,PLATINUM,Chennai,517499,81412,Petrol,2nd,2016,Hyundai
606,Maruti Suzuki Swift,PLATINUM,Chennai,553899,41912,Petrol,2nd,2016,Maruti
607,Maruti Suzuki Swift,PLATINUM,Chennai,579199,32516,Petrol,2nd,2016,Maruti
608,Hyundai Grand i10,PLATINUM,Bangalore,531999,41552,Petrol,2nd,2015,Hyundai
609,Hyundai Grand i10,PLATINUM,Chennai,496199,21790,Petrol,1st,2018,Hyundai
610,Maruti Suzuki Baleno,PLATINUM,Chennai,659099,34010,Petrol,2nd,2019,Maruti
611,Hyundai Elite i20,PLATINUM,Chennai,534799,50050,Petrol,2nd,2016,Hyundai
612,Hyundai Grand i10,PLATINUM,Chennai,496199,21790,Petrol,1st,2018,Hyundai
613,Maruti Suzuki Wagon,PLATINUM,Chennai,298599,75822,Petrol,1st,2011,Maruti
614,Tata Tiago ,PLATINUM,Bangalore,490199,28589,Petrol,1st,2016,Tata
615,Renault Kwid ,PLATINUM,Bangalore,422999,15883,Petrol,2nd,2017,Renault
616,Hyundai Elite i20,PLATINUM,Chennai,656399,63648,Petrol,1st,2016,Hyundai
617,Maruti Suzuki Vitara,PLATINUM,Pune,688599,156931,Diesel,2nd,2016,Maruti
618,Maruti Suzuki XL6,PLATINUM,Pune,1113299,13829,Petrol,2nd,2019,Maruti
619,Maruti Suzuki Baleno,PLATINUM,Pune,608399,28361,Petrol,1st,2016,Maruti
620,Hyundai Grand i10,PLATINUM,Chennai,587399,77960,Petrol,1st,2017,Hyundai
621,Maruti Suzuki Celerio,PLATINUM,Bangalore,449699,33473,Petrol,2nd,2015,Maruti
622,Maruti Suzuki Eeco,PLATINUM,Chennai,464899,29052,Petrol,2nd,2019,Maruti
623,Maruti Suzuki Alto,PLATINUM,Chennai,302699,68041,Petrol,2nd,2017,Maruti
624,Maruti Suzuki Baleno,PLATINUM,Bangalore,583299,61361,Petrol,2nd,2015,Maruti
625,Honda BRV ,PLATINUM,Bangalore,877999,32218,Petrol,2nd,2018,Honda
626,Hyundai i10 Magna,PLATINUM,Chennai,398499,28579,Petrol,1st,2016,Hyundai
627,Hyundai Grand i10,PLATINUM,Chennai,529399,51343,Petrol,2nd,2017,Hyundai
628,Honda City V,GOLD,Chennai,950000,35500,Petrol,1st,2017,Honda
629,Hyundai i20 Sportz,GOLD,Bangalore,439000,16000,Petrol,1st,2012,Hyundai
630,Renault Kwid RxL,PLATINUM,Bangalore,422299,17357,Petrol,2nd,2019,Renault
631,Ford Figo Aspire,PLATINUM,Bangalore,589999,14517,Petrol,2nd,2017,Ford
632,Maruti Suzuki Baleno,PLATINUM,Chennai,661299,13517,Petrol,1st,2017,Maruti
633,Maruti Suzuki Wagon,PLATINUM,Chennai,429099,42302,Petrol,1st,2017,Maruti
634,Maruti Suzuki Celerio,PLATINUM,Chennai,389399,65783,Petrol,2nd,2015,Maruti
635,Renault Lodgy ,PLATINUM,Chennai,629799,138716,Diesel,2nd,2015,Renault
636,Hyundai i10 Sportz,PLATINUM,Bangalore,397299,43339,Petrol,1st,2013,Hyundai
637,Maruti Suzuki Ignis,PLATINUM,Pune,546399,19526,Petrol,2nd,2018,Maruti
638,Maruti Suzuki Alto,PLATINUM,Bangalore,412999,25673,Petrol,1st,2016,Maruti
639,Maruti Suzuki Celerio,PLATINUM,Chennai,402799,93304,Petrol,2nd,2016,Maruti
640,Hyundai Creta ,PLATINUM,Chennai,915699,94409,Diesel,2nd,2019,Hyundai
641,Hyundai EON ,PLATINUM,Chennai,357899,27339,Petrol,2nd,2016,Hyundai
642,Renault Kwid ,PLATINUM,Pune,475399,9095,Petrol,2nd,2018,Renault
643,Maruti Suzuki Eeco,PLATINUM,Bangalore,485299,21934,Petrol,1st,2019,Maruti
644,Maruti Suzuki Baleno,PLATINUM,Bangalore,643599,51706,Petrol,2nd,2016,Maruti
645,Honda City ZX,GOLD,Dwarka,1069999,54000,CNG,1st,2018,Honda
646,Honda City ZX,GOLD,GirSomnath,1069999,54000,CNG,1st,2018,Honda
647,Honda City ZX,GOLD,Anand,1069999,54000,CNG,1st,2018,Honda
648,Honda WRV VX,GOLD,Kolkata,735000,34000,Petrol,1st,2018,Honda
649,Maruti Suzuki Wagon,PLATINUM,Pune,438199,31281,Petrol,1st,2018,Maruti
650,Honda City ,PLATINUM,Bangalore,924599,46312,Petrol,2nd,2019,Honda
651,Hyundai Elite i20,PLATINUM,Chennai,664099,32989,Petrol,1st,2018,Hyundai
652,Renault Kwid ,PLATINUM,Bangalore,462299,50599,Petrol,2nd,2018,Renault
653,Honda Brio ,PLATINUM,Bangalore,438499,26127,Petrol,2nd,2016,Honda
654,Maruti Suzuki Vitara,PLATINUM,Bangalore,680999,58118,Diesel,2nd,2016,Maruti
655,Maruti Suzuki Alto,PLATINUM,Chennai,393199,23534,Petrol,2nd,2019,Maruti
656,Maruti Suzuki Baleno,PLATINUM,Chennai,646799,58978,Petrol,2nd,2018,Maruti
657,Maruti Suzuki Wagon,PLATINUM,Pune,349999,33103,Petrol,1st,2014,Maruti
658,Maruti Suzuki Eeco,PLATINUM,Bangalore,419599,14600,Petrol,2nd,2018,Maruti
659,Maruti Suzuki Baleno,PLATINUM,Pune,585099,26049,Petrol,2nd,2016,Maruti
660,Ford Freestyle ,PLATINUM,Bangalore,627799,33895,Diesel,1st,2018,Ford
661,Volkswagen Polo ,PLATINUM,Bangalore,520799,32893,Petrol,2nd,2017,Volkswagen
662,Maruti Suzuki Swift,PLATINUM,Chennai,410199,61717,Petrol,3rd,2013,Maruti
663,Maruti Suzuki Wagon,PLATINUM,Chennai,404399,82334,Petrol,2nd,2017,Maruti
664,Hyundai Verna ,PLATINUM,Chennai,682799,87381,Petrol,2nd,2017,Hyundai
665,Porsche Cayenne Select,GOLD,Mumbai,3300000,38000,Electric,1st,2011,Porsche
666,Toyota Innova 2.5,GOLD,Bangalore,1175000,210000,Diesel,1st,2013,Toyota
667,Ford Ecosport ,PLATINUM,Pune,1045799,34642,Petrol,2nd,2019,Ford
668,Maruti Suzuki Swift,PLATINUM,Chennai,410199,154104,Petrol,2nd,2013,Maruti
669,Maruti Suzuki Alto,PLATINUM,Chennai,297299,61826,Petrol,2nd,2016,Maruti
670,Tata Nexon ,PLATINUM,Pune,980199,44751,Diesel,2nd,2018,Tata
671,Honda Jazz ,PLATINUM,Chennai,794299,5183,Petrol,2nd,2019,Honda
672,Maruti Suzuki Swift,PLATINUM,Pune,411899,136082,Diesel,2nd,2012,Maruti
673,Maruti Suzuki Celerio,PLATINUM,Chennai,557399,5817,Petrol,1st,2019,Maruti
674,Hyundai Creta ,PLATINUM,Pune,896099,99138,Diesel,2nd,2015,Hyundai
675,Honda Jazz ,PLATINUM,Pune,637699,27936,Petrol,2nd,2016,Honda
676,Maruti Suzuki Alto,PLATINUM,Chennai,254499,39845,Petrol,3rd,2014,Maruti
677,Maruti Suzuki Eeco,PLATINUM,Chennai,457699,15615,Petrol,2nd,2019,Maruti
678,Honda Brio ,PLATINUM,Chennai,361599,53158,Petrol,2nd,2012,Honda
679,Maruti Suzuki Baleno,PLATINUM,Pune,675799,16002,Petrol,2nd,2019,Maruti
680,Maruti Suzuki Wagon,PLATINUM,Pune,389499,31133,Petrol,1st,2015,Maruti
681,Maruti Suzuki Baleno,PLATINUM,Bangalore,625599,20172,Petrol,2nd,2016,Maruti
682,Volkswagen Polo ,PLATINUM,Bangalore,686999,69653,Petrol,1st,2013,Volkswagen
683,Volkswagen Ameo Comfortline,PLATINUM,Chennai,519699,26023,Petrol,1st,2017,Volkswagen
684,Maruti Suzuki Alto,PLATINUM,Chennai,324599,19805,Petrol,2nd,2018,Maruti
685,Maruti Suzuki Alto,PLATINUM,Chennai,340199,41365,Petrol,2nd,2017,Maruti
